id,content_type,content_license,attribution_url,title,cid,download_url,image_format
337,image/jpg,,,storybook-25-ch-3,,/image/337_r2.jpg,JPG
338,image/jpg,,,storybook-25-ch-4,,/image/338_r3.jpg,JPG
339,image/jpg,,,storybook-25-ch-5,,/image/339_r2.jpg,JPG
340,image/jpg,,,storybook-25-ch-6,,/image/340_r2.jpg,JPG
341,image/jpg,,,storybook-25-ch-7,,/image/341_r3.jpg,JPG
342,image/jpg,,,storybook-25-ch-8,,/image/342_r9.jpg,JPG
343,image/jpg,,,storybook-25-ch-9,,/image/343_r8.jpg,JPG
344,image/gif,CREATIVE_COMMONS_CC_BY_SA,https://commons.m.wikimedia.org/wiki/File:Justin_Spinner_Timberlake.gif,aso,,/image/344_r1.gif,GIF
345,image/jpg,,,storybook-26-cover,,/image/345_r2.jpg,JPG
346,image/jpg,,,storybook-26-ch-1,,/image/346_r1.jpg,JPG
347,image/jpg,,,storybook-26-ch-2,,/image/347_r1.jpg,JPG
348,image/jpg,,,storybook-26-ch-3,,/image/348_r2.jpg,JPG
349,image/jpg,,,storybook-26-ch-4,,/image/349_r1.jpg,JPG
350,image/jpg,,,storybook-26-ch-5,,/image/350_r2.jpg,JPG
351,image/jpg,,,storybook-26-ch-6,,/image/351_r1.jpg,JPG
352,image/jpg,,,storybook-26-ch-7,,/image/352_r2.jpg,JPG
353,image/jpg,,,storybook-26-ch-8,,/image/353_r1.jpg,JPG
354,image/jpg,,,storybook-26-ch-9,,/image/354_r3.jpg,JPG
355,image/gif,CREATIVE_COMMONS_CC_BY_SA,https://en.wikipedia.org/wiki/File:Anas_platyrhynchos_cleaning.gif,anas platyrhynchos,,/image/355_r4.gif,GIF
356,image/jpg,,,storybook-27-cover,,/image/356_r4.jpg,JPG
357,image/jpg,,,storybook-27-ch-1,,/image/357_r2.jpg,JPG
358,image/jpg,,,storybook-27-ch-2,,/image/358_r2.jpg,JPG
359,image/jpg,,,storybook-27-ch-3,,/image/359_r5.jpg,JPG
360,image/jpg,,,storybook-27-ch-4,,/image/360_r3.jpg,JPG
361,image/jpg,,,storybook-27-ch-5,,/image/361_r2.jpg,JPG
362,image/jpg,,,storybook-27-ch-6,,/image/362_r2.jpg,JPG
363,image/jpg,,,storybook-27-ch-7,,/image/363_r4.jpg,JPG
364,image/jpg,,,storybook-27-ch-8,,/image/364_r3.jpg,JPG
365,image/jpg,,,storybook-27-ch-9,,/image/365_r4.jpg,JPG
366,image/jpg,,,storybook-27-ch-10,,/image/366_r6.jpg,JPG
367,image/jpg,,,storybook-27-ch-11,,/image/367_r2.jpg,JPG
368,image/jpg,,,storybook-27-ch-12,,/image/368_r2.jpg,JPG
369,image/jpg,,,storybook-27-ch-13,,/image/369_r1.jpg,JPG
370,image/jpg,,,storybook-27-ch-14,,/image/370_r3.jpg,JPG
371,image/jpg,,,storybook-27-ch-15,,/image/371_r3.jpg,JPG
372,image/jpg,,,storybook-27-ch-16,,/image/372_r2.jpg,JPG
373,image/jpg,,,storybook-28-cover,,/image/373_r2.jpg,JPG
