id,text,allophone_ids,allophone_values_ipa,usage_count,word_type,spelling_consistency
165,incredible,"[8,36,78,19,38,7,21,10,20,10,34]","[""ɪ"",""n"",""ˈ"",""k"",""r"",""ɛ"",""d"",""ə"",""b"",""ə"",""l""]",0,ADJECTIVE,PERFECT
163,ink,"[8,37,19]","[""ɪ"",""ŋ"",""k""]",0,NOUN,PERFECT
160,insect,"[78,8,36,79,29,7,19,18]","[""ˈ"",""ɪ"",""n"",""ˌ"",""s"",""ɛ"",""k"",""t""]",0,NOUN,PERFECT
162,island,[],[],0,NOUN,HIGHLY_PHONEMIC
170,jacket,"[78,24,5,19,10,18]","[""ˈ"",""dʒ"",""æ"",""k"",""ə"",""t""]",0,NOUN,PERFECT
166,jam,"[24,5,35]","[""dʒ"",""æ"",""m""]",0,NOUN,PERFECT
172,jar,[],[],0,NOUN,PERFECT
420,jeep,"[24,4,17]","[""dʒ"",""i"",""p""]",0,NOUN,NON_PHONEMIC
168,jellyfish,"[78,24,7,34,4,79,25,8,31]","[""ˈ"",""dʒ"",""ɛ"",""l"",""i"",""ˌ"",""f"",""ɪ"",""ʃ""]",0,NOUN,PERFECT
421,jet,"[24,7,18]","[""dʒ"",""ɛ"",""t""]",0,,
422,jog,"[24,1,22]","[""dʒ"",""ɑ"",""g""]",0,,
424,jug,"[24,6,22]","[""dʒ"",""ʌ"",""g""]",0,,
169,jungle,"[78,24,6,37,22,10,34]","[""ˈ"",""dʒ"",""ʌ"",""ŋ"",""g"",""ə"",""l""]",0,,
171,jus,"[24,3,29]","[""dʒ"",""u"",""s""]",0,,
178,kangaroo,"[79,19,5,37,22,10,78,38,3]","[""ˌ"",""k"",""æ"",""ŋ"",""g"",""ə"",""ˈ"",""r"",""u""]",0,,
176,key,"[19,4]","[""k"",""i""]",0,,
426,kid,"[19,8,21]","[""k"",""ɪ"",""d""]",0,,
177,kitchen,"[78,19,8,23,8,36]","[""ˈ"",""k"",""ɪ"",""tʃ"",""ɪ"",""n""]",0,,
174,kite,[],[],0,,
175,kitten,"[78,19,8,18,10,36]","[""ˈ"",""k"",""ɪ"",""t"",""ə"",""n""]",0,,
179,lamp,"[34,5,35,17]","[""l"",""æ"",""m"",""p""]",0,,
184,leaf,"[34,4,25]","[""l"",""i"",""f""]",0,,
180,leg,"[34,7,22]","[""l"",""ɛ"",""g""]",0,,
183,lemon,"[78,34,7,35,10,36]","[""ˈ"",""l"",""ɛ"",""m"",""ə"",""n""]",0,,
427,lick,"[34,8,19]","[""l"",""ɪ"",""k""]",0,,
428,lip,"[34,8,17]","[""l"",""ɪ"",""p""]",0,,
182,lizard,"[78,34,8,30,10,21]","[""ˈ"",""l"",""ɪ"",""z"",""ə"",""d""]",0,,
181,lobster,"[78,34,1,20,29,18,10,38]","[""ˈ"",""l"",""ɑ"",""b"",""s"",""t"",""ə"",""r""]",0,,
429,log,"[34,2,22]","[""l"",""ɔ"",""g""]",0,,
431,loud,"[34,12,21]","[""l"",""aʊ"",""d""]",0,,
432,mad,"[35,5,21]","[""m"",""æ"",""d""]",0,,
434,map,"[35,5,17]","[""m"",""æ"",""p""]",0,,
435,mat,"[35,5,18]","[""m"",""æ"",""t""]",0,,
436,mess,"[35,7,29]","[""m"",""ɛ"",""s""]",0,,
